id,duration,dispoStatus,billable,state,words
1,328.608,XFER,1,FL,1100
2,314.136,XFER,1,FL,952
3,480.456,XFER,1,GA,1576
4,360.288,XFER,1,GA,1273
5,46.44,XFER,0,FL,32
6,199.728,XFER,1,GA,621
7,27.648,XFER,0,GA,64
8,199.584,XFER,1,DE,566
9,209.952,XFER,0,FL,671
10,393.696,XFER,1,DC,1303
11,311.184,XFER,1,FL,1056
12,288.648,XFER,0,OH,1007
13,209.664,XFER,1,VA,603
14,292.392,XFER,1,SC,761
15,354.384,XFER,1,NC,1003
16,259.488,XFER,1,MI,854
17,135.216,XFER,1,NC,390
18,169.272,XFER,1,FL,474
19,141.12,XFER,1,NJ,498
20,315.792,XFER,1,KS,837
21,217.152,XFER,1,ME,702
22,168.768,XFER,1,ME,473
23,243.144,XFER,1,KS,797
24,383.328,XFER,0,OH,1160
25,313.92,XFER,1,GA,898
26,264.672,XFER,1,FL,878
27,217.296,XFER,1,MO,691
28,282.6,XFER,1,SC,854
29,324.432,XFER,1,IL,1052
30,435.024,XFER,1,SC,1375
31,200.376,XFER,1,AL,468
32,194.472,XFER,0,AL,633
33,453.888,XFER,1,MI,1415
34,257.688,XFER,1,TX,753
35,207.072,XFER,1,LA,671
36,385.848,XFER,0,MO,1028
37,121.392,XFER,0,IL,345
38,239.328,XFER,1,KY,766
39,160.272,XFER,1,TX,515
40,321.408,XFER,1,NY,913
41,227.232,XFER,1,NY,521
42,273.384,XFER,1,PA,812
43,332.496,XFER,1,SC,1072
44,328.176,XFER,0,TX,1036
45,216.792,XFER,1,FL,478
46,272.376,XFER,1,MI,864
47,261.36,XFER,1,TX,790
48,247.104,XFER,0,WI,620
49,377.064,XFER,0,KY,1255
50,197.64,XFER,1,AR,485
51,266.112,XFER,1,WI,808
52,51.552,XFER,1,AR,142
53,227.376,XFER,0,IN,707
54,20.232,XFER,0,FL,27
55,317.304,XFER,1,AR,1002
56,28.296,XFER,0,FL,50
57,442.944,XFER,1,LA,1327
58,203.76,XFER,1,SC,613
59,385.992,XFER,1,MI,1327
60,239.04,XFER,1,NC,700
61,296.136,XFER,1,AZ,976
62,225.504,XFER,1,IL,722
63,456.192,XFER,1,TX,1283
64,372.24,XFER,1,VA,813
65,247.248,XFER,0,NY,658
66,168.264,XFER,1,MI,533
67,347.328,XFER,1,FL,995
68,144.936,XFER,0,NE,427
69,258.336,XFER,1,IN,879
70,344.376,XFER,1,SC,1104
71,196.416,XFER,0,TX,597
72,161.712,XFER,1,VA,413
73,379.224,XFER,0,AZ,1070
74,204.408,XFER,1,NY,571
75,369,XFER,1,NM,1105
76,243.144,XFER,0,GA,868
77,484.56,XFER,1,NY,1663
78,272.448,XFER,0,FL,948
79,296.784,XFER,1,CO,707
80,194.76,XFER,1,AZ,556
81,93.384,XFER,1,NY,354
82,196.632,XFER,1,TX,455
83,482.328,XFER,1,NY,1577
84,382.968,XFER,1,TX,1067
85,149.544,XFER,1,SC,521
86,93.744,XFER,0,MA,289
87,240.192,XFER,1,NC,779
88,103.968,XFER,1,MI,321
89,364.176,XFER,1,NC,897
90,278.136,XFER,1,NY,860
91,208.152,XFER,1,PA,593
92,297.216,XFER,0,TX,868
93,306.144,XFER,1,NC,1044
94,293.04,XFER,0,MA,879
95,180.576,XFER,1,WV,479
96,187.776,XFER,1,PA,595
97,149.112,XFER,1,TX,539
98,108.288,XFER,1,PA,360
99,354.744,XFER,0,MI,1177
100,179.928,XFER,1,IL,425
101,174.384,XFER,0,TX,517
102,291.096,XFER,1,NY,860
103,204.768,XFER,1,MO,486
104,279.36,XFER,1,IL,809
105,215.784,XFER,1,KS,624
106,228.744,XFER,1,OK,683
107,463.248,XFER,0,TX,1292
108,277.272,XFER,1,TX,718
109,47.304,XFER,1,TX,49
110,236.88,XFER,1,TN,731
111,234.72,XFER,1,TX,812
112,164.304,XFER,1,CT,461
113,366.12,XFER,1,WV,1065
114,242.784,XFER,0,NC,826
115,96.84,XFER,0,FL,271
116,371.376,XFER,1,MI,1081
117,536.616,XFER,0,TX,1163
118,155.304,XFER,0,TX,415
119,76.176,XFER,0,OH,238
120,29.952,XFER,0,TX,70
121,227.376,XFER,1,WI,681
122,232.2,XFER,1,SC,792
123,124.848,XFER,0,TN,357
124,108.144,XFER,0,WA,381
125,302.328,XFER,0,MO,735
126,168.048,XFER,0,OH,391
127,286.848,XFER,1,MI,1039
128,165.6,XFER,1,TN,425
129,320.4,XFER,1,NM,1078
130,24.768,XFER,1,PA,26
131,208.08,XFER,1,AR,626
132,173.664,XFER,1,CO,526
133,469.656,XFER,1,AR,1496
134,233.928,XFER,1,TX,697
135,251.784,XFER,1,IN,745
136,304.704,XFER,1,FL,849
137,294.264,XFER,1,TN,673
138,193.176,XFER,1,MI,556
139,305.208,XFER,1,OH,984
140,196.56,XFER,1,CA,468
141,328.968,XFER,0,CO,1042
142,334.944,XFER,1,WA,1113
143,202.32,XFER,1,WA,627
144,351.504,XFER,1,TX,1033
145,214.272,XFER,0,WI,640
146,92.376,XFER,0,OK,265
147,508.68,XFER,0,TX,1268
148,392.4,XFER,1,NY,1161
149,158.04,XFER,1,AL,511
150,189.864,XFER,1,NJ,504
151,192.024,XFER,1,AZ,647
152,244.152,XFER,1,SC,721
153,141.912,XFER,1,TX,444
154,280.584,XFER,1,WA,681
155,312.912,XFER,1,FL,879
156,248.76,XFER,1,CT,730
157,89.64,XFER,1,AR,294
158,129.6,XFER,1,OH,361
159,185.472,XFER,1,WA,459
160,232.344,XFER,0,MI,755
161,429.984,XFER,1,GA,1238
162,158.112,XFER,1,MA,438
163,270.36,XFER,1,TX,864
164,121.536,XFER,1,FL,388
165,162.072,XFER,1,SC,478
166,187.848,XFER,1,NY,477
167,211.032,XFER,1,MI,583
168,159.408,XFER,1,FL,497
169,208.8,XFER,1,TX,512
170,457.488,XFER,1,VA,1312
171,128.088,XFER,1,ID,409
172,141.12,XFER,1,GA,442
173,312.624,XFER,1,CO,953
174,159.048,XFER,1,VA,556
175,268.704,XFER,1,TX,787
176,333.288,XFER,1,OK,1169
177,184.248,XFER,1,PA,599
178,257.904,XFER,1,FL,734
179,187.632,XFER,1,TX,409
180,318.384,XFER,0,VA,944
181,213.84,XFER,1,NC,625
182,358.272,XFER,1,NY,1126
183,83.16,XFER,1,VA,272
184,364.68,XFER,1,FL,885
185,179.496,XFER,1,MO,422
186,293.4,XFER,0,WI,1028
187,142.272,XFER,1,FL,477
188,220.68,XFER,1,TN,635
189,102.888,XFER,1,WI,285
190,462.024,XFER,1,MI,1432
191,168.048,XFER,1,DE,557
192,208.944,XFER,1,FL,513
193,33.408,XFER,0,NJ,71
194,236.736,XFER,1,GA,719
195,284.616,XFER,1,TX,925
196,42.624,XFER,1,NY,52
197,150.264,XFER,1,TN,521
198,188.352,XFER,0,IL,513
199,411.048,XFER,0,TX,1285
200,354.096,XFER,1,OH,1118
201,341.64,XFER,1,AL,1039
202,224.928,XFER,0,OK,766
203,166.536,XFER,1,CA,397
204,218.016,XFER,1,OR,605
205,162.144,XFER,1,IN,423
206,178.56,XFER,0,IL,582
207,252,XFER,1,TX,821
208,53.208,XFER,1,CO,98
209,36,XFER,0,MI,26
210,298.728,XFER,1,OH,1096
211,376.488,XFER,1,SC,1133
212,308.232,XFER,1,NJ,761
213,190.944,XFER,0,MI,616
214,243.288,XFER,1,FL,826
215,372.312,XFER,1,NJ,1196
216,180.36,XFER,1,VA,613
217,75.888,XFER,1,FL,96
218,306.432,XFER,1,TN,864
219,173.952,XFER,1,AR,456
220,311.76,XFER,1,PA,857
221,213.336,XFER,1,MS,564
222,237.888,XFER,1,NY,796
223,333.072,XFER,1,TX,966
224,351.216,XFER,1,TN,1056
225,246.456,XFER,1,CO,801
226,128.016,XFER,1,TN,376
227,177.624,XFER,1,GA,527
228,369.648,XFER,1,MA,1285
229,127.08,XFER,1,LA,361
230,388.872,XFER,1,SC,1102
231,209.448,XFER,1,NY,701
232,234.072,XFER,0,DC,688
233,364.608,XFER,1,KS,966
234,211.896,XFER,1,AL,663
235,426.744,XFER,1,AL,1296
236,259.272,XFER,1,MO,769
237,307.368,XFER,1,TN,886
238,222.12,XFER,1,IL,650
239,431.136,XFER,0,CA,1406
240,137.088,XFER,0,MO,424
241,261.936,XFER,1,PA,782
242,293.688,XFER,0,SC,815
243,287.208,XFER,1,NY,903
244,31.248,XFER,0,NY,81
245,189.648,XFER,1,CA,620
246,140.472,XFER,1,GA,462
247,262.8,XFER,1,VA,802
248,378.792,XFER,1,NC,1139
249,239.616,XFER,1,MA,654
250,224.64,XFER,1,AL,816
251,155.52,XFER,1,NM,470
252,33.84,XFER,1,TX,77
253,167.328,XFER,0,MI,445
254,154.656,XFER,1,AZ,521
255,306.576,XFER,1,IN,995
256,309.312,XFER,1,MN,812
257,198.648,XFER,0,FL,552
258,209.16,XFER,0,GA,507
259,322.632,XFER,0,LA,872
260,126,XFER,1,TN,433
261,238.752,XFER,1,NH,714
262,335.736,XFER,1,TX,957
263,361.008,XFER,1,LA,1116
264,242.424,XFER,1,MA,714
265,191.304,XFER,1,CA,533
266,246.312,XFER,0,FL,571
267,310.752,XFER,0,MO,955
268,209.736,XFER,1,AZ,656
269,212.472,XFER,1,NV,698
270,352.44,XFER,1,KY,1047
271,221.832,XFER,0,FL,758
272,104.616,XFER,1,NY,335
273,119.088,XFER,1,OK,395
274,360.72,XFER,1,FL,1059
275,403.344,XFER,1,WI,1025
276,244.656,XFER,1,CO,673
277,135.36,XFER,1,SC,395
278,76.752,XFER,1,GA,287
279,132.12,XFER,1,NY,326
280,193.104,XFER,1,TX,667
281,34.056,XFER,0,TX,51
282,290.736,XFER,1,CT,718
283,264.024,XFER,1,MI,859
284,243.648,XFER,1,MO,756
285,236.88,XFER,1,IN,524
286,252.792,XFER,1,OK,853
287,72.216,XFER,0,NY,124
288,216.864,XFER,0,WA,650
289,254.304,XFER,1,NV,754
290,37.368,XFER,1,FL,94
291,359.136,XFER,1,GA,1036
292,20.664,XFER,1,TX,22
293,378.36,XFER,1,AL,1321
294,328.68,XFER,0,GA,951
295,247.392,XFER,1,OK,801
296,185.472,XFER,1,MA,617
297,465.696,XFER,1,CO,1113
298,397.8,XFER,0,RI,1150
299,102.744,XFER,1,IL,302
300,187.92,XFER,1,FL,510
301,146.592,XFER,1,SC,358
302,277.488,XFER,1,TX,827
303,117.864,XFER,1,MI,348
304,250.632,XFER,1,OH,695
305,180.216,XFER,1,NY,680
306,104.688,XFER,1,VA,340
307,343.152,XFER,1,MI,768
308,123.048,XFER,1,FL,374
309,478.44,XFER,1,TX,1523
310,272.088,XFER,1,OR,741
311,279.936,XFER,1,PA,872
312,338.544,XFER,1,AL,773
313,369.288,XFER,1,IA,1009
314,275.832,XFER,0,NC,887
315,344.88,XFER,0,AZ,936
316,266.184,XFER,1,TN,830
317,116.64,XFER,1,NY,120
318,303.12,XFER,1,NJ,1039
319,389.736,XFER,1,NJ,1081
320,185.832,XFER,0,LA,539
321,328.392,XFER,1,GA,951
322,595.008,XFER,1,TX,1915
323,358.344,XFER,1,IL,808
324,161.856,XFER,0,MA,470
325,57.96,XFER,0,AZ,121
326,260.352,XFER,1,MI,723
327,23.688,XFER,1,HI,21
328,87.12,XFER,1,CT,267
329,340.92,XFER,1,OH,1065
330,186.336,XFER,0,MI,474
331,142.56,XFER,1,NY,437
332,185.904,XFER,0,TN,527
333,423.072,XFER,1,NY,986
334,223.92,XFER,1,FL,702
335,327.168,XFER,1,VA,1088
336,228.888,XFER,1,MA,627
337,198.648,XFER,1,FL,606
338,574.056,XFER,1,NC,1600
339,325.944,XFER,1,CT,805
340,251.568,XFER,1,CA,802
341,254.808,XFER,0,FL,748
342,239.976,XFER,1,KY,772
343,300.384,XFER,1,NY,836
344,175.032,XFER,0,MA,414
345,359.64,XFER,1,GA,943
346,150.336,XFER,1,LA,445
347,107.136,XFER,1,HI,355
348,418.752,XFER,0,CA,1183
349,160.632,XFER,1,TX,425
350,239.256,XFER,1,MI,707
351,332.856,XFER,1,SC,805
352,118.008,XFER,1,TX,392
353,175.104,XFER,1,CA,460
354,294.408,XFER,0,MN,888
355,309.744,XFER,1,SC,899
356,349.344,XFER,1,OK,1042
357,164.592,XFER,1,OK,488
358,140.832,XFER,1,KY,442
359,322.2,XFER,1,LA,1056
360,309.96,XFER,1,LA,804
361,193.032,XFER,1,NY,505
362,214.488,XFER,1,KY,470
363,126.648,XFER,1,NH,428
364,475.632,XFER,1,TX,1348
365,489.384,XFER,0,GA,1513
366,305.064,XFER,1,PA,949
367,142.272,XFER,0,HI,478
368,252.144,XFER,1,VA,550
369,293.256,XFER,1,MA,707
370,126.144,XFER,1,OH,394
371,254.088,XFER,1,FL,772
372,265.824,XFER,1,HI,739
373,256.176,XFER,1,AR,777
374,320.112,XFER,1,WA,1136
375,27.36,XFER,0,LA,34
376,214.92,XFER,1,HI,610
377,183.456,XFER,1,MS,582
378,27.504,XFER,0,WI,45
379,166.176,XFER,0,TN,472
380,432,XFER,1,UT,1333
381,248.544,XFER,0,NY,766
382,253.872,XFER,1,AL,819
383,225.144,XFER,1,TN,780
384,325.872,XFER,0,NJ,994
385,221.184,XFER,0,NV,529
386,111.672,XFER,1,AL,329
387,172.584,XFER,1,NJ,433
388,235.152,XFER,1,IL,650
389,128.736,XFER,1,TX,373
390,407.736,XFER,1,CO,1257
391,393.336,XFER,1,MS,1086
392,139.896,XFER,1,NV,385
393,454.392,XFER,1,DE,1425
394,156.6,XFER,1,NY,459
395,285.84,XFER,1,AL,777
396,121.176,XFER,1,WA,217
397,30.6,XFER,0,WI,73
398,276.768,XFER,0,KY,759
399,302.04,XFER,1,MO,742
400,229.968,XFER,1,AZ,612
401,380.232,XFER,1,AR,962
402,157.104,XFER,1,NC,384
403,306,XFER,0,NY,710
404,204.12,XFER,1,OH,536
405,242.136,XFER,1,OH,889
406,176.76,XFER,1,MS,497
407,183.6,XFER,1,IL,571
408,412.128,XFER,0,NY,1397
409,206.208,XFER,0,GA,780
410,131.616,XFER,1,NJ,379
411,270.648,XFER,1,AZ,783
412,441.936,XFER,1,TN,1182
413,122.76,XFER,1,AR,337
414,269.208,XFER,1,TX,761
415,296.496,XFER,1,MI,1061
416,144.504,XFER,1,VA,435
417,324.288,XFER,1,FL,863
418,94.824,XFER,0,NM,339
419,129.6,XFER,0,AL,353
420,359.352,XFER,0,AL,1256
421,256.032,XFER,1,PA,826
422,213.408,XFER,1,AZ,632
423,197.784,XFER,1,AL,540
424,153.576,XFER,1,CT,434
425,289.224,XFER,1,AZ,849
426,184.824,XFER,1,WI,453
427,102.384,XFER,1,CA,121
428,302.688,XFER,1,NY,978
429,188.928,XFER,0,LA,574
430,374.976,XFER,1,IL,1202
431,208.872,XFER,0,MO,725
432,137.232,XFER,0,HI,351
433,163.224,XFER,0,NC,396
434,224.784,XFER,1,NE,481
435,150.264,XFER,1,NJ,378
436,459.576,XFER,1,PA,1415
437,246.888,XFER,0,WV,732
438,15.84,XFER,0,CA,42
439,252.648,XFER,1,CT,661
440,137.592,XFER,1,UT,409
441,219.24,XFER,0,NY,737
442,124.92,XFER,0,MS,330
443,225.936,XFER,1,NY,685
444,333.864,XFER,1,KY,1002
445,368.712,XFER,1,WI,887
446,282.024,XFER,1,WA,889
447,27.288,XFER,1,FL,46
448,233.64,XFER,1,IL,641
449,140.04,XFER,1,LA,372
450,148.968,XFER,1,FL,191
451,50.472,XFER,1,IN,125
452,259.272,XFER,1,WI,945
453,341.712,XFER,1,CA,970
454,157.248,XFER,1,WI,491
455,207.216,XFER,1,IN,633
456,83.304,XFER,0,PA,265
457,141.264,XFER,0,NJ,181
458,187.344,XFER,0,RI,523
459,265.248,XFER,0,PA,904
460,102.24,XFER,1,ID,260
461,90.792,XFER,1,PA,249
462,116.424,XFER,1,AR,310
463,208.872,XFER,0,IL,594
464,144.72,XFER,1,WI,373
465,363.096,XFER,0,TX,1203
466,414.144,XFER,1,AR,1024
467,242.64,XFER,1,WI,880
468,319.608,XFER,1,NE,906
469,236.808,XFER,1,WA,568
470,227.088,XFER,0,TX,484
471,473.832,XFER,1,TX,1215
472,512.496,XFER,0,IL,1309
473,122.832,XFER,0,GA,335
474,232.848,XFER,1,GA,631
475,47.592,XFER,1,GA,112
476,263.16,XFER,0,NE,803
477,366.984,XFER,0,AR,1159
478,255.528,XFER,1,NY,551
479,232.128,XFER,1,FL,662
480,117.216,XFER,1,TX,355
481,124.704,XFER,0,NC,352
482,232.704,XFER,1,AZ,773
483,258.768,XFER,0,OK,761
484,148.032,XFER,0,NY,428
485,234.936,XFER,1,KS,701
486,133.488,XFER,0,PA,406
487,17.712,XFER,0,NY,19
488,176.904,XFER,0,WA,514
489,226.224,XFER,1,GA,528
490,354.96,XFER,1,FL,1068
491,156.816,XFER,0,MS,394
492,123.48,XFER,1,NY,348
493,117.864,XFER,1,NJ,419
494,70.56,XFER,1,KS,264
495,160.128,XFER,1,WA,418
496,215.064,XFER,1,TX,590
497,220.392,XFER,1,NC,512
498,419.832,XFER,1,MO,1208
499,444.744,XFER,1,DE,1151
500,194.76,XFER,1,PA,519
501,107.496,XFER,1,NY,375
502,80.352,XFER,1,LA,230
503,285.912,XFER,1,OH,772
504,389.448,XFER,1,WA,1010
505,159.408,XFER,1,OH,440
506,286.992,XFER,1,NY,872
507,167.4,XFER,1,GA,443
508,118.224,XFER,1,CA,407
509,225.072,XFER,0,IL,842
510,286.272,XFER,0,TX,792
511,123.048,XFER,1,TN,451
512,96.264,XFER,1,IL,266
513,437.184,XFER,1,CO,1020
514,393.264,XFER,1,CA,1066
515,157.608,XFER,0,IL,547
516,593.424,XFER,1,TX,1855
517,144.936,XFER,1,WA,485
518,328.176,XFER,1,LA,1276
519,248.184,XFER,1,GA,781
520,160.848,XFER,1,NE,567
521,71.928,XFER,1,ME,213
522,121.752,XFER,1,SC,447
523,134.352,XFER,1,WI,514
524,289.008,XFER,1,WA,769
525,80.784,XFER,1,IL,242
526,350.712,XFER,1,TX,863
527,254.664,XFER,1,NE,781
528,308.448,XFER,1,TX,759
529,127.152,XFER,1,TX,329
530,94.392,XFER,1,KS,276
531,93.096,XFER,1,CA,290
532,174.24,XFER,1,FL,483
533,337.752,XFER,1,FL,1074
534,64.44,XFER,0,FL,96
535,269.496,XFER,1,FL,856
536,267.408,XFER,1,FL,879
537,40.464,XFER,1,GA,102
538,275.256,XFER,1,IN,921
539,366.552,XFER,1,FL,703
540,277.056,XFER,1,DE,820
541,298.44,XFER,0,GA,1040
542,369.144,XFER,0,FL,1156
543,557.784,XFER,1,FL,1824
544,200.232,XFER,0,GA,630
545,452.808,XFER,0,FL,1281
546,271.872,XFER,1,PA,864
547,281.448,XFER,1,AL,858
548,36.144,XFER,0,FL,45
549,215.784,XFER,1,OH,715
550,386.784,XFER,0,NC,1193
551,283.464,XFER,1,NY,873
552,366.84,XFER,1,MS,783
553,437.544,XFER,1,FL,1104
554,214.344,XFER,1,NJ,599
555,254.232,XFER,1,MO,726
556,356.256,XFER,1,MS,855
557,418.392,XFER,1,MI,1336
558,236.808,XFER,1,SC,774
559,22.752,XFER,0,FL,40
560,276.048,XFER,1,SC,802
561,198.216,XFER,0,FL,459
562,417.744,XFER,1,NY,901
563,407.808,XFER,1,NY,1133
564,178.056,XFER,1,GA,492
565,357.336,XFER,1,FL,1053
566,206.424,XFER,1,NJ,691
567,106.776,XFER,0,PA,270
568,170.28,XFER,0,AL,426
569,402.336,XFER,1,VA,1230
570,280.08,XFER,1,NY,876
571,239.76,XFER,0,OH,662
572,274.824,XFER,1,FL,752
573,286.056,XFER,1,NC,766
574,212.256,XFER,1,FL,637
575,231.768,XFER,1,NY,701
576,279.432,XFER,1,FL,806
577,486.792,XFER,0,VA,1815
578,157.176,XFER,1,NC,407
579,274.752,XFER,1,PA,789
580,19.872,XFER,0,NY,33
581,168.552,XFER,1,NY,593
582,209.952,XFER,1,DE,618
